,Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp,Calories
0,male,68,190.0,94.0,29.0,105.0,40.8,231.0
1,female,20,166.0,60.0,14.0,94.0,40.3,66.0
2,male,69,179.0,79.0,5.0,88.0,38.7,26.0
3,female,34,179.0,71.0,13.0,100.0,40.5,71.0
4,female,27,154.0,58.0,10.0,81.0,39.8,35.0
5,female,36,151.0,50.0,23.0,96.0,40.7,123.0
6,female,33,158.0,56.0,22.0,95.0,40.5,112.0
7,male,41,175.0,85.0,25.0,100.0,40.7,143.0
8,male,60,186.0,94.0,21.0,97.0,40.4,134.0
9,female,26,146.0,51.0,16.0,90.0,40.2,72.0
10,female,36,177.0,76.0,1.0,74.0,37.8,3.0
11,female,21,157.0,56.0,17.0,100.0,40.0,92.0
12,male,66,171.0,79.0,11.0,90.0,40.0,58.0
13,female,32,157.0,54.0,18.0,93.0,40.4,88.0
14,male,53,182.0,85.0,2.0,82.0,38.1,7.0
15,female,39,156.0,62.0,28.0,104.0,40.8,170.0
16,male,39,182.0,82.0,4.0,82.0,38.6,11.0
17,male,46,169.0,67.0,11.0,89.0,40.2,43.0
18,female,27,171.0,65.0,4.0,85.0,38.6,15.0
19,male,50,188.0,86.0,14.0,94.0,40.2,74.0
20,male,67,189.0,93.0,8.0,77.0,39.2,29.0
21,female,31,148.0,50.0,8.0,84.0,39.5,32.0
22,female,33,157.0,60.0,3.0,80.0,38.7,10.0
23,female,20,165.0,59.0,29.0,100.0,41.0,155.0
24,male,48,182.0,85.0,1.0,80.0,37.7,3.0
25,male,29,176.0,75.0,10.0,83.0,39.7,24.0
26,male,33,173.0,73.0,7.0,78.0,39.3,12.0
27,male,42,190.0,88.0,3.0,83.0,38.9,10.0
28,female,62,159.0,59.0,29.0,106.0,41.2,195.0
29,male,38,171.0,75.0,2.0,81.0,38.2,5.0
30,male,20,183.0,88.0,16.0,97.0,40.5,69.0
31,female,25,160.0,59.0,24.0,102.0,40.3,136.0
32,female,24,165.0,59.0,18.0,91.0,40.2,80.0
33,female,42,165.0,68.0,22.0,93.0,40.8,107.0
34,male,22,182.0,84.0,29.0,114.0,41.0,200.0
35,female,74,158.0,59.0,10.0,93.0,39.6,56.0
36,female,70,154.0,59.0,10.0,88.0,40.0,50.0
37,female,26,182.0,80.0,21.0,96.0,40.5,100.0
38,male,44,184.0,86.0,25.0,114.0,40.8,200.0
39,male,61,183.0,86.0,1.0,81.0,38.3,4.0
40,female,68,157.0,57.0,13.0,92.0,40.1,70.0
41,female,61,176.0,70.0,20.0,104.0,40.5,127.0
42,male,63,179.0,80.0,25.0,108.0,40.8,197.0
43,female,54,171.0,66.0,20.0,98.0,40.1,113.0
44,female,54,169.0,66.0,3.0,80.0,38.9,11.0
45,female,47,155.0,55.0,16.0,93.0,40.5,82.0
